transaction_id,date,customer_id,product_category,amount,status,payment_method,region
T001,2024-01-15,C023,Electronics,1250.75,Completed,Credit,North
T002,2024-01-18,C045,Clothing,89.99,Completed,Debit,South
T003,2024-01-22,C012,Food,45.50,Completed,Cash,East
T004,2024-02-03,C038,Services,2100.00,Pending,Wire,West
T005,2024-02-05,C007,Other,320.25,Failed,Credit,Central
T006,2024-02-08,C029,Electronics,899.99,Completed,Debit,North
T007,2024-02-12,C041,Clothing,,Completed,Credit,South
T008,2024-02-15,C016,Food,67.80,Refunded,Cash,East
T009,2024-02-18,C033,Services,1750.50,Completed,Wire,West
T010,2024-02-22,C008,Other,155.00,Failed,Credit,Central
T011,2024-02-25,C019,Electronics,2340.99,Completed,Debit,North
T012,2024-02-28,C047,Clothing,112.50,Completed,Credit,South
T013,2024-03-02,C025,Food,34.75,Completed,Cash,East
T014,2024-03-05,C014,Services,980.00,Pending,Wire,West
T015,2024-03-08,C036,Other,245.80,Completed,Credit,Central
T016,2024-03-12,C002,Electronics,1890.25,Completed,Debit,North
T017,2024-03-15,C028,Clothing,78.99,Failed,Credit,South
T018,2024-03-18,C043,Food,56.20,Completed,Cash,East
T019,2024-03-22,C017,Services,3200.00,Completed,Wire,West
T020,2024-03-25,C050,Other,198.75,Refunded,Credit,Central
T021,2024-03-28,C011,Electronics,756.50,Completed,Debit,North
T022,2024-04-01,C032,Clothing,145.00,Completed,Credit,South
T023,2024-04-04,C005,Food,42.90,Completed,Cash,East
T024,2024-04-07,C024,Services,1560.75,Pending,Wire,West
T025,2024-04-10,C039,Other,289.99,Completed,Credit,Central
T026,2024-04-13,C013,Electronics,2780.50,Completed,Debit,North
T027,2024-04-16,C046,Clothing,92.25,Failed,Credit,South
T028,2024-04-19,C021,Food,38.65,Completed,Cash,East
T029,2024-04-22,C034,Services,2450.00,Completed,Wire,West
T030,2024-04-25,C009,Other,167.80,Refunded,Credit,Central
T031,2024-04-28,C027,Electronics,1345.99,Completed,Debit,North
T032,2024-05-01,C048,Clothing,156.75,Completed,Credit,South
T033,2024-05-04,C015,Food,49.30,Completed,Cash,East
T034,2024-05-07,C037,Services,1890.25,Pending,Wire,West
T035,2024-05-10,C004,Other,234.50,Completed,Credit,Central
T036,2024-05-13,C022,Electronics,998.99,Completed,Debit,North
T037,2024-05-16,C044,Clothing,87.50,Failed,Credit,South
T038,2024-05-19,C018,Food,61.45,Completed,Cash,East
T039,2024-05-22,C031,Services,3100.00,Completed,Wire,West
T040,2024-05-25,C006,Other,178.25,Refunded,Credit,Central
T041,2024-05-28,C026,Electronics,2156.75,Completed,Debit,North
T042,2024-06-01,C049,Clothing,134.99,Completed,Credit,South
T043,2024-06-04,C010,Food,52.80,Completed,Cash,East
T044,2024-06-07,C035,Services,1720.50,Pending,Wire,West
T045,2024-06-10,C001,Other,298.75,Completed,Credit,Central
T046,2024-06-13,C020,Electronics,1567.25,Completed,Debit,North
T047,2024-06-16,C042,Clothing,98.50,Failed,Credit,South
T048,2024-06-19,C030,Food,44.95,Completed,Cash,East
T049,2024-06-22,C003,Services,2890.00,Completed,Wire,West
T050,2024-06-25,C040,Other,189.99,Refunded,Credit,Central
T051,2024-06-28,C016,Electronics,1789.50,Completed,Debit,North
T052,2024-07-01,C028,Clothing,76.25,Completed,Credit,South
T053,2024-07-04,C045,Food,58.70,Completed,Cash,East
T054,2024-07-07,C012,Services,1450.75,Pending,Wire,West
T055,2024-07-10,C033,Other,267.50,Completed,Credit,Central
T056,2024-07-13,C008,Electronics,2345.99,Completed,Debit,North
T057,2024-07-16,C025,Clothing,119.75,Failed,Credit,South
T058,2024-07-19,C047,Food,36.80,Completed,Cash,East
T059,2024-07-22,C014,Services,2150.00,Completed,Wire,West
T060,2024-07-25,C038,Other,145.25,Refunded,Credit,Central
T061,2024-07-28,C002,Electronics,1998.50,Completed,Debit,North
T062,2024-08-01,C029,Clothing,158.99,Completed,Credit,South
T063,2024-08-04,C041,Food,47.60,Completed,Cash,East
T064,2024-08-07,C017,Services,1670.25,Pending,Wire,West
T065,2024-08-10,C050,Other,298.80,Completed,Credit,Central
T066,2024-08-13,C011,Electronics,756.75,Completed,Debit,North
T067,2024-08-16,C032,Clothing,89.50,Failed,Credit,South
T068,2024-08-19,C005,Food,53.40,Completed,Cash,East
T069,2024-08-22,C024,Services,3450.00,Completed,Wire,West
T070,2024-08-25,C039,Other,167.99,Refunded,Credit,Central
T071,2024-08-28,C013,Electronics,2567.25,Completed,Debit,North
T072,2024-09-01,C046,Clothing,124.75,Completed,Credit,South
T073,2024-09-04,C021,Food,41.85,Completed,Cash,East
T074,2024-09-07,C034,Services,1890.50,Pending,Wire,West
T075,2024-09-10,C009,Other,234.75,Completed,Credit,Central
T076,2024-09-13,C027,Electronics,1456.99,Completed,Debit,North
T077,2024-09-16,C048,Clothing,97.25,Failed,Credit,South
T078,2024-09-19,C015,Food,59.90,Completed,Cash,East
T079,2024-09-22,C037,Services,2780.00,Completed,Wire,West
T080,2024-09-25,C004,Other,189.50,Refunded,Credit,Central
T081,2024-09-28,C022,Electronics,1789.25,Completed,Debit,North
T082,2024-10-01,C044,Clothing,145.99,Completed,Credit,South
T083,2024-10-04,C018,Food,48.75,Completed,Cash,East
T084,2024-10-07,C031,Services,1560.25,Pending,Wire,West
T085,2024-10-10,C006,Other,278.80,Completed,Credit,Central
T086,2024-10-13,C026,Electronics,2234.50,Completed,Debit,North
T087,2024-10-16,C049,Clothing,87.75,Failed,Credit,South
T088,2024-10-19,C010,Food,54.60,Completed,Cash,East
T089,2024-10-22,C035,Services,2990.00,Completed,Wire,West
T090,2024-10-25,C001,Other,198.25,Refunded,Credit,Central
T091,2024-10-28,C020,Electronics,1567.75,Completed,Debit,North
T092,2024-10-31,C042,Clothing,132.50,Completed,Credit,South
T093,2024-01-20,C030,Food,43.90,Completed,Cash,East
T094,2024-01-25,C003,Services,1780.50,Pending,Wire,West
T095,2024-01-30,C040,Other,245.99,Completed,Credit,Central
T096,2024-02-02,C016,Electronics,1890.25,Completed,Debit,North
T097,2024-02-07,C028,Clothing,98.75,Failed,Credit,South
T098,2024-02-14,C045,Food,56.40,Completed,Cash,East
T099,2024-02-19,C012,Services,2340.00,Completed,Wire,West
T100,2024-02-24,C033,Other,167.50,Refunded,Credit,Central
T101,2024-03-01,C008,Electronics,2567.99,Completed,Debit,North
T102,2024-03-06,C025,Clothing,119.25,Completed,Credit,South
T103,2024-03-11,C047,Food,39.80,Completed,Cash,East
T104,2024-03-16,C014,Services,1670.75,Pending,Wire,West
T105,2024-03-21,C038,Other,289.50,Completed,Credit,Central
T106,2024-03-26,C002,Electronics,1456.25,Completed,Debit,North
T107,2024-03-31,C029,Clothing,87.99,Failed,Credit,South
T108,2024-04-05,C041,Food,61.20,Completed,Cash,East
T109,2024-04-08,C017,Services,3120.00,Completed,Wire,West
T110,2024-04-11,C050,Other,178.75,Refunded,Credit,Central
T111,2024-04-14,C011,Electronics,1789.50,Completed,Debit,North
T112,2024-04-17,C032,Clothing,134.25,Completed,Credit,South
T113,2024-04-20,C005,Food,47.90,Completed,Cash,East
T114,2024-04-23,C024,Services,1890.25,Pending,Wire,West
T115,2024-04-26,C039,Other,234.99,Completed,Credit,Central
T116,2024-04-29,C013,Electronics,2345.75,Completed,Debit,North
T117,2024-05-02,C046,Clothing,92.50,Failed,Credit,South
T118,2024-05-05,C021,Food,58.60,Completed,Cash,East
T119,2024-05-08,C034,Services,2780.50,Completed,Wire,West
T120,2024-05-11,C009,Other,189.25,Refunded,Credit,Central
T121,2024-05-14,C027,Electronics,1567.99,Completed,Debit,North
T122,2024-05-17,C048,Clothing,145.75,Completed,Credit,South
T123,2024-05-20,C015,Food,42.80,Completed,Cash,East
T124,2024-05-23,C037,Services,1670.25,Pending,Wire,West
T125,2024-05-26,C004,Other,267.50,Completed,Credit,Central
T126,2024-05-29,C022,Electronics,2156.25,Completed,Debit,North
T127,2024-06-02,C044,Clothing,98.99,Failed,Credit,South
T128,2024-06-05,C018,Food,54.40,Completed,Cash,East
T129,2024-06-08,C031,Services,2890.75,Completed,Wire,West
T130,2024-06-11,C006,Other,198.50,Refunded,Credit,Central
T131,2024-06-14,C026,Electronics,1789.25,Completed,Debit,North
T132,2024-06-17,C049,Clothing,124.50,Completed,Credit,South
T133,2024-06-20,C010,Food,46.90,Completed,Cash,East
T134,2024-06-23,C035,Services,1560.50,Pending,Wire,West
T135,2024-06-26,C001,Other,278.75,Completed,Credit,Central
T136,2024-06-29,C020,Electronics,2234.99,Completed,Debit,North
T137,2024-07-02,C042,Clothing,89.25,Failed,Credit,South
T138,2024-07-05,C030,Food,59.70,Completed,Cash,East
T139,2024-07-08,C003,Services,3450.25,Completed,Wire,West
T140,2024-07-11,C040,Other,167.99,Refunded,Credit,Central
T141,2024-07-14,C016,Electronics,1456.75,Completed,Debit,North
T142,2024-07-17,C028,Clothing,132.50,Completed,Credit,South
T143,2024-07-20,C045,Food,43.60,Completed,Cash,East
T144,2024-07-23,C012,Services,1890.00,Pending,Wire,West
T145,2024-07-26,C033,Other,245.25,Completed,Credit,Central
T146,2024-07-29,C008,Electronics,2567.50,Completed,Debit,North
T147,2024-08-02,C025,Clothing,97.75,Failed,Credit,South
T148,2024-08-05,C047,Food,56.80,Completed,Cash,East
T149,2024-08-08,C014,Services,2150.75,Completed,Wire,West
T150,2024-08-11,C038,Other,189.99,Refunded,Credit,Central
T151,2024-08-14,C002,Electronics,1789.25,Completed,Debit,North
T152,2024-08-17,C029,Clothing,145.50,Completed,Credit,South
T153,2024-08-20,C041,Food,48.90,Completed,Cash,East
T154,2024-08-23,C017,Services,1670.50,Pending,Wire,West
T155,2024-08-26,C050,Other,267.75,Completed,Credit,Central
T156,2024-08-29,C011,Electronics,2345.99,Completed,Debit,North
T157,2024-09-02,C032,Clothing,87.25,Failed,Credit,South
T158,2024-09-05,C005,Food,61.40,Completed,Cash,East
T159,2024-09-08,C024,Services,2780.25,Completed,Wire,West
T160,2024-09-11,C039,Other,178.50,Refunded,Credit,Central
T161,2024-09-14,C013,Electronics,1567.75,Completed,Debit,North
T162,2024-09-17,C046,Clothing,134.99,Completed,Credit,South
T163,2024-09-20,C021,Food,44.70,Completed,Cash,East
T164,2024-09-23,C034,Services,1890.50,Pending,Wire,West
T165,2024-09-26,C009,Other,234.25,Completed,Credit,Central
T166,2024-09-29,C027,Electronics,2156.50,Completed,Debit,North
T167,2024-10-02,C048,Clothing,98.75,Failed,Credit,South
T168,2024-10-05,C015,Food,58.60,Completed,Cash,East
T169,2024-10-08,C037,Services,3120.75,Completed,Wire,West
T170,2024-10-11,C004,Other,189.25,Refunded,Credit,Central
T171,2024-10-14,C022,Electronics,1789.99,Completed,Debit,North
T172,2024-10-17,C044,Clothing,124.50,Completed,Credit,South
T173,2024-10-20,C018,Food,46.80,Completed,Cash,East
T174,2024-10-23,C031,Services,1560.25,Pending,Wire,West
T175,2024-10-26,C006,Other,278.99,Completed,Credit,Central
T176,2024-10-29,C026,Electronics,2234.75,Completed,Debit,North
T177,2024-01-12,C049,Clothing,89.50,Failed,Credit,South
T178,2024-01-17,C010,Food,54.90,Completed,Cash,East
T179,2024-01-24,C035,Services,2890.50,Completed,Wire,West
T180,2024-01-29,C001,Other,167.75,Refunded,Credit,Central
T181,2024-02-01,C020,Electronics,1456.25,Completed,Debit,North
T182,2024-02-06,C042,Clothing,132.99,Completed,Credit,South
T183,2024-02-11,C030,Food,43.50,Completed,Cash,East
T184,2024-02-16,C003,Services,1890.75,Pending,Wire,West
T185,2024-02-21,C040,Other,245.50,Completed,Credit,Central
T186,2024-02-26,C016,Electronics,2567.25,Completed,Debit,North
T187,2024-03-03,C028,Clothing,97.75,Failed,Credit,South
T188,2024-03-07,C045,Food,56.40,Completed,Cash,East
T189,2024-03-10,C012,Services,2150.50,Completed,Wire,West
T190,2024-03-13,C033,Other,189.99,Refunded,Credit,Central
T191,2024-03-17,C008,Electronics,1789.75,Completed,Debit,North
T192,2024-03-20,C025,Clothing,145.25,Completed,Credit,South
T193,2024-03-23,C047,Food,48.60,Completed,Cash,East
T194,2024-03-27,C014,Services,1670.25,Pending,Wire,West
T195,2024-03-30,C038,Other,267.50,Completed,Credit,Central
T196,2024-04-02,C002,Electronics,2345.99,Completed,Debit,North
T197,2024-04-06,C029,Clothing,87.50,Failed,Credit,South
T198,2024-04-09,C041,Food,61.80,Completed,Cash,East
T199,2024-04-12,C017,Services,2780.75,Completed,Wire,West
T200,2024-04-15,C050,Other,178.25,Refunded,Credit,Central
T201,2024-04-18,C011,Electronics,1567.50,Completed,Debit,North
T202,2024-04-21,C032,Clothing,134.75,Completed,Credit,South
T203,2024-04-24,C005,Food,44.90,Completed,Cash,East
T204,2024-04-27,C024,Services,1890.25,Pending,Wire,West
T205,2024-04-30,C039,Other,234.99,Completed,Credit,Central
T206,2024-05-03,C013,Electronics,2156.75,Completed,Debit,North
T207,2024-05-06,C046,Clothing,98.25,Failed,Credit,South
T208,2024-05-09,C021,Food,58.70,Completed,Cash,East
T209,2024-05-12,C034,Services,3120.50,Completed,Wire,West
T210,2024-05-15,C009,Other,189.75,Refunded,Credit,Central
T211,2024-05-18,C027,Electronics,1789.99,Completed,Debit,North
T212,2024-05-21,C048,Clothing,124.50,Completed,Credit,South
T213,2024-05-24,C015,Food,46.40,Completed,Cash,East
T214,2024-05-27,C037,Services,1560.75,Pending,Wire,West
T215,2024-05-30,C004,Other,278.25,Completed,Credit,Central
T216,2024-06-03,C022,Electronics,2234.50,Completed,Debit,North
T217,2024-06-06,C044,Clothing,89.99,Failed,Credit,South
T218,2024-06-09,C018,Food,54.60,Completed,Cash,East
T219,2024-06-12,C031,Services,2890.25,Completed,Wire,West
T220,2024-06-15,C006,Other,167.50,Refunded,Credit,Central
T221,2024-06-18,C026,Electronics,1456.75,Completed,Debit,North
T222,2024-06-21,C049,Clothing,132.25,Completed,Credit,South
T223,2024-06-24,C010,Food,43.80,Completed,Cash,East
T224,2024-06-27,C035,Services,1890.50,Pending,Wire,West
T225,2024-06-30,C001,Other,245.99,Completed,Credit,Central
T226,2024-07-03,C020,Electronics,2567.25,Completed,Debit,North
T227,2024-07-06,C042,Clothing,97.50,Failed,Credit,South
T228,2024-07-09,C030,Food,56.90,Completed,Cash,East
T229,2024-07-12,C003,Services,2150.75,Completed,Wire,West
T230,2024-07-15,C040,Other,189.25,Refunded,Credit,Central
T231,2024-07-18,C016,Electronics,1789.50,Completed,Debit,North
T232,2024-07-21,C028,Clothing,145.75,Completed,Credit,South
T233,2024-07-24,C045,Food,48.40,Completed,Cash,East
T234,2024-07-27,C012,Services,1670.25,Pending,Wire,West
T235,2024-07-30,C033,Other,267.99,Completed,Credit,Central
T236,2024-08-03,C008,Electronics,2345.75,Completed,Debit,North
T237,2024-08-06,C025,Clothing,87.25,Failed,Credit,South
T238,2024-08-09,C047,Food,61.50,Completed,Cash,East
T239,2024-08-12,C014,Services,2780.50,Completed,Wire,West
T240,2024-08-15,C038,Other,178.75,Refunded,Credit,Central
T241,2024-08-18,C002,Electronics,1567.25,Completed,Debit,North
T242,2024-08-21,C029,Clothing,134.50,Completed,Credit,South
T243,2024-08-24,C041,Food,44.70,Completed,Cash,East
T244,2024-08-27,C017,Services,1890.75,Pending,Wire,West
T245,2024-08-30,C050,Other,234.25,Completed,Credit,Central
T246,2024-09-03,C011,Electronics,2156.99,Completed,Debit,North
T247,2024-09-06,C032,Clothing,98.75,Failed,Credit,South
T248,2024-09-09,C005,Food,58.60,Completed,Cash,East
T249,2024-09-12,C024,Services,3120.25,Completed,Wire,West
T250,2024-09-15,C039,Other,189.50,Refunded,Credit,Central
